,sku,style,skushortname,size,bin,zone,inv_bucket,soh,available_qty,commited_qty,picked_qty,hold_qty,unit_wac,inv_cost,sku_barcode,location,brand_name,uom
0,ABBEY-BLACK-04,ABBEY-BLACK-04,Abbey-Black-04,04,5.6,Saleable Zone,good,14,14,0,0,0,25,350,8907928279087,Warehouse,Off The Hook,Pcs
1,ABBEY-BLACK-04,ABBEY-BLACK-04,Abbey-Black-04,04,OTH-R,SALZON2,good,7,7,0,0,0,25,175,8907928279087,Warehouse,Off The Hook,Pcs
2,ABBEY-BLACK-05,ABBEY-BLACK-05,Abbey-Black-05,05,5.6,Saleable Zone,good,16,16,0,0,0,25,400,8907928279100,Warehouse,Off The Hook,Pcs
3,ABBEY-BLACK-05,ABBEY-BLACK-05,Abbey-Black-05,05,OTH-R,SALZON2,good,22,22,0,0,0,25,550,8907928279100,Warehouse,Off The Hook,Pcs
4,ABBEY-BLACK-05.5,ABBEY-BLACK-05.5,Abbey-Black-05.5,05.5,5.6,Saleable Zone,good,9,9,0,0,0,25,225,8907928279117,Warehouse,Off The Hook,Pcs
5,ABBEY-BLACK-06,ABBEY-BLACK-06,Abbey-Black-06,06,5.6,Saleable Zone,good,15,15,0,0,0,25,375,8907928279124,Warehouse,Off The Hook,Pcs
6,ABBEY-BLACK-06,ABBEY-BLACK-06,Abbey-Black-06,06,OTH-R,SALZON2,good,22,22,0,0,0,25,550,8907928279124,Warehouse,Off The Hook,Pcs
7,ABBEY-BLACK-06.5,ABBEY-BLACK-06.5,Abbey-Black-06.5,06.5,5.6,Saleable Zone,good,10,10,0,0,0,25,250,8907928279131,Warehouse,Off The Hook,Pcs
8,ABBEY-BLACK-07,ABBEY-BLACK-07,Abbey-Black-07,07,5.6,Saleable Zone,good,12,12,0,0,0,25,300,8907928279148,Warehouse,Off The Hook,Pcs
9,ABBEY-BLACK-07,ABBEY-BLACK-07,Abbey-Black-07,07,OTH-R,SALZON2,good,10,10,0,0,0,25,250,8907928279148,Warehouse,Off The Hook,Pcs
10,ABBEY-BLACK-08,ABBEY-BLACK-08,Abbey-Black-08,08,5.6,Saleable Zone,good,11,11,0,0,0,25,275,8907928279155,Warehouse,Off The Hook,Pcs
11,ACTON-BLACK-03,ACTON-BLACK-03,Acton-Black-03,03/37,6.7,Saleable Zone,good,24,24,0,0,0,20.99,503.76,8904309524675,Warehouse,Off The Hook,Pcs
12,ACTON-BLACK-03,ACTON-BLACK-03,Acton-Black-03,03/37,OTH-R,SALZON2,good,63,63,0,0,0,20.99,1322.37,8904309524675,Warehouse,Off The Hook,Pcs
13,ACTON-BLACK-04,ACTON-BLACK-04,Acton-Black-04,04/38,6.7,Saleable Zone,good,18,18,0,0,0,20.99,377.82,8904309524668,Warehouse,Off The Hook,Pcs
14,ACTON-BLACK-04,ACTON-BLACK-04,Acton-Black-04,04/38,OTH-R,SALZON2,good,126,126,0,0,0,20.99,2644.74,8904309524668,Warehouse,Off The Hook,Pcs
15,ACTON-BLACK-05,ACTON-BLACK-05,Acton-Black-05,05/39,6.7,Saleable Zone,good,24,24,0,0,0,20.99,503.76,8904309524651,Warehouse,Off The Hook,Pcs
16,ACTON-BLACK-05,ACTON-BLACK-05,Acton-Black-05,05/39,OTH-R,SALZON2,good,149,149,0,0,0,20.99,3127.51,8904309524651,Warehouse,Off The Hook,Pcs
17,ACTON-BLACK-06,ACTON-BLACK-06,Acton-Black-06,06/40,6.7,Saleable Zone,good,22,22,0,0,0,20.99,461.78,8904309524644,Warehouse,Off The Hook,Pcs
18,ACTON-BLACK-06,ACTON-BLACK-06,Acton-Black-06,06/40,OTH-R,SALZON2,good,169,169,0,0,0,20.99,3547.31,8904309524644,Warehouse,Off The Hook,Pcs
